source_row_id,transaction_date,account,account_type,scenario,cash_type,coffee_name,source_amount,financial_line,amount,abs_amount,period,fiscal_year,fiscal_quarter
51,2024-03-08,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
52,2024-03-08,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
53,2024-03-08,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
54,2024-03-08,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
55,2024-03-08,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
56,2024-03-09,Unassigned,Unassigned,Actual,Card,Espresso,24.0,Unclassified Income,24.0,24.0,2024-03,2024,Q1
57,2024-03-09,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
58,2024-03-09,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
59,2024-03-09,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
60,2024-03-09,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
61,2024-03-09,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
62,2024-03-09,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
63,2024-03-09,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
64,2024-03-09,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
65,2024-03-09,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
66,2024-03-09,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
67,2024-03-09,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
68,2024-03-09,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
69,2024-03-10,Unassigned,Unassigned,Actual,Card,Espresso,24.0,Unclassified Income,24.0,24.0,2024-03,2024,Q1
70,2024-03-10,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
71,2024-03-10,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
72,2024-03-11,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
73,2024-03-11,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
74,2024-03-11,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
75,2024-03-11,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
76,2024-03-12,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
77,2024-03-12,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
78,2024-03-12,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
79,2024-03-12,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
80,2024-03-12,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
81,2024-03-12,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
82,2024-03-13,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
83,2024-03-13,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
84,2024-03-13,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
85,2024-03-13,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
86,2024-03-13,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
87,2024-03-13,Unassigned,Unassigned,Actual,Card,Espresso,24.0,Unclassified Income,24.0,24.0,2024-03,2024,Q1
88,2024-03-13,Unassigned,Unassigned,Actual,Card,Espresso,24.0,Unclassified Income,24.0,24.0,2024-03,2024,Q1
89,2024-03-13,Unassigned,Unassigned,Actual,Card,Espresso,24.0,Unclassified Income,24.0,24.0,2024-03,2024,Q1
90,2024-03-14,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
91,2024-03-14,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
92,2024-03-14,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
93,2024-03-14,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
94,2024-03-14,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
95,2024-03-14,Unassigned,Unassigned,Actual,Card,Espresso,24.0,Unclassified Income,24.0,24.0,2024-03,2024,Q1
96,2024-03-14,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
97,2024-03-14,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
98,2024-03-14,Unassigned,Unassigned,Actual,Card,Espresso,24.0,Unclassified Income,24.0,24.0,2024-03,2024,Q1
99,2024-03-14,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
100,2024-03-14,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
101,2024-03-15,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
102,2024-03-15,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
103,2024-03-16,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
104,2024-03-16,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
105,2024-03-16,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
106,2024-03-16,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
107,2024-03-16,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
108,2024-03-16,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
109,2024-03-17,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
110,2024-03-18,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
111,2024-03-18,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
112,2024-03-18,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
113,2024-03-18,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
114,2024-03-19,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
115,2024-03-19,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
116,2024-03-19,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
117,2024-03-19,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
118,2024-03-20,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
119,2024-03-20,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
120,2024-03-20,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
121,2024-03-20,Unassigned,Unassigned,Actual,Card,Cocoa,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
122,2024-03-20,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
123,2024-03-21,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
124,2024-03-21,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
125,2024-03-21,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
126,2024-03-21,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
127,2024-03-22,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
128,2024-03-22,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
129,2024-03-22,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
130,2024-03-22,Unassigned,Unassigned,Actual,Card,Espresso,24.0,Unclassified Income,24.0,24.0,2024-03,2024,Q1
131,2024-03-22,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
132,2024-03-23,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
133,2024-03-23,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
134,2024-03-23,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
135,2024-03-23,Unassigned,Unassigned,Actual,Card,Cocoa,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
136,2024-03-23,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
137,2024-03-23,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
138,2024-03-23,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
139,2024-03-23,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
140,2024-03-24,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
141,2024-03-25,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
142,2024-03-25,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
143,2024-03-25,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
144,2024-03-25,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
145,2024-03-25,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
146,2024-03-26,Unassigned,Unassigned,Actual,Card,Cocoa,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
147,2024-03-26,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
148,2024-03-26,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
149,2024-03-26,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
150,2024-03-26,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
151,2024-03-26,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
152,2024-03-26,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
153,2024-03-26,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
154,2024-03-26,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
155,2024-03-26,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
156,2024-03-26,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
157,2024-03-27,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
158,2024-03-27,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
159,2024-03-27,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
160,2024-03-27,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
161,2024-03-27,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
162,2024-03-27,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
163,2024-03-27,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
164,2024-03-28,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
165,2024-03-28,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
166,2024-03-28,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-03,2024,Q1
167,2024-03-28,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
168,2024-03-29,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
169,2024-03-29,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
170,2024-03-29,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
171,2024-03-30,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
172,2024-03-30,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
173,2024-03-30,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
174,2024-03-30,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-03,2024,Q1
175,2024-03-31,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-03,2024,Q1
176,2024-04-01,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-04,2024,Q2
177,2024-04-01,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-04,2024,Q2
178,2024-04-01,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-04,2024,Q2
179,2024-04-01,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-04,2024,Q2
180,2024-04-01,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-04,2024,Q2
181,2024-04-01,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-04,2024,Q2
182,2024-04-02,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-04,2024,Q2
183,2024-04-02,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-04,2024,Q2
184,2024-04-02,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-04,2024,Q2
185,2024-04-03,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-04,2024,Q2
186,2024-04-03,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-04,2024,Q2
187,2024-04-03,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-04,2024,Q2
188,2024-04-04,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-04,2024,Q2
189,2024-04-04,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-04,2024,Q2
190,2024-04-04,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-04,2024,Q2
191,2024-04-04,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-04,2024,Q2
192,2024-04-05,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-04,2024,Q2
193,2024-04-05,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-04,2024,Q2
194,2024-04-05,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-04,2024,Q2
195,2024-04-05,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-04,2024,Q2
196,2024-04-05,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-04,2024,Q2
197,2024-04-05,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-04,2024,Q2
198,2024-04-05,Unassigned,Unassigned,Actual,Card,Espresso,24.0,Unclassified Income,24.0,24.0,2024-04,2024,Q2
199,2024-04-06,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-04,2024,Q2
200,2024-04-06,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-04,2024,Q2
201,2024-04-06,Unassigned,Unassigned,Actual,Card,Americano,28.9,Unclassified Income,28.9,28.9,2024-04,2024,Q2
202,2024-04-06,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-04,2024,Q2
203,2024-04-07,Unassigned,Unassigned,Actual,Card,Latte,38.7,Unclassified Income,38.7,38.7,2024-04,2024,Q2
204,2024-04-07,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-04,2024,Q2
205,2024-04-07,Unassigned,Unassigned,Actual,Card,Cappuccino,38.7,Unclassified Income,38.7,38.7,2024-04,2024,Q2
206,2024-04-07,Unassigned,Unassigned,Actual,Card,Cortado,28.9,Unclassified Income,28.9,28.9,2024-04,2024,Q2
207,2024-04-07,Unassigned,Unassigned,Actual,Card,Espresso,24.0,Unclassified Income,24.0,24.0,2024-04,2024,Q2
208,2024-04-07,Unassigned,Unassigned,Actual,Card,Hot Chocolate,38.7,Unclassified Income,38.7,38.7,2024-04,2024,Q2
209,2024-04-07,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-04,2024,Q2
210,2024-04-08,Unassigned,Unassigned,Actual,Card,Americano With Milk,33.8,Unclassified Income,33.8,33.8,2024-04,2024,Q2
